date,category,searches,views,favorites,listings,exam_days,demand
2026-08-01,Electronics,39,73,14,4,7,72.45
2026-08-01,Books,28,36,10,13,1,43.3
2026-08-01,Cycles,19,30,4,8,6,30.21
2026-08-01,Hostel Essentials,39,55,13,9,8,58.59
2026-08-01,Lab Equipment,15,34,7,6,8,35.7
2026-08-01,Furniture,20,29,5,9,3,30.44
2026-08-01,Clothing,25,47,6,11,17,18.85
2026-08-01,Sports Equipment,24,48,9,7,28,29.08
2026-08-02,Electronics,39,60,12,5,2,77.3
2026-08-02,Books,35,54,12,12,5,54.35
2026-08-02,Cycles,15,32,4,8,20,11.56
2026-08-02,Hostel Essentials,35,60,13,7,29,40.0
2026-08-02,Lab Equipment,28,37,6,5,26,21.57
2026-08-02,Furniture,15,22,5,10,28,5.73
2026-08-02,Clothing,27,39,9,9,8,33.2
2026-08-02,Sports Equipment,29,41,11,6,28,31.6
2026-08-03,Electronics,37,62,13,3,24,48.62
2026-08-03,Books,30,37,9,14,2,43.5
2026-08-03,Cycles,21,34,7,8,27,21.02
2026-08-03,Hostel Essentials,34,62,14,7,24,46.31
2026-08-03,Lab Equipment,20,27,8,4,30,22.77
2026-08-03,Furniture,21,38,6,10,29,6.91
2026-08-03,Clothing,34,48,11,9,4,47.14
2026-08-03,Sports Equipment,24,42,5,7,10,33.69
2026-08-04,Electronics,35,62,11,4,1,71.31
2026-08-04,Books,27,45,11,10,24,29.43
2026-08-04,Cycles,20,27,8,5,8,37.73
2026-08-04,Hostel Essentials,34,64,13,6,22,45.72
2026-08-04,Lab Equipment,31,44,11,8,14,40.86
2026-08-04,Furniture,15,20,7,10,7,25.83
2026-08-04,Clothing,27,29,6,8,28,10.91
2026-08-04,Sports Equipment,25,33,7,6,6,40.71
2026-08-05,Electronics,50,73,15,4,25,61.53
2026-08-05,Books,25,42,11,12,13,36.16
2026-08-05,Cycles,16,40,6,4,12,36.58
2026-08-05,Hostel Essentials,35,58,11,6,17,47.79
2026-08-05,Lab Equipment,20,37,7,4,14,42.23
2026-08-05,Furniture,15,27,9,6,2,45.66
2026-08-05,Clothing,29,50,11,11,6,45.1
2026-08-05,Sports Equipment,25,45,7,6,8,45.83
2026-08-06,Electronics,46,71,16,6,4,78.45
2026-08-06,Books,22,46,11,10,23,26.44
2026-08-06,Cycles,17,27,8,5,1,46.66
2026-08-06,Hostel Essentials,26,40,11,5,21,41.37
2026-08-06,Lab Equipment,25,33,10,8,1,53.19
2026-08-06,Furniture,20,31,8,8,29,12.86
2026-08-06,Clothing,30,44,10,11,4,42.22
2026-08-06,Sports Equipment,22,44,5,3,14,38.29
2026-08-07,Electronics,39,61,15,4,16,61.85
2026-08-07,Books,31,66,11,12,9,47.13
2026-08-07,Cycles,19,38,10,4,21,36.67
2026-08-07,Hostel Essentials,37,45,9,7,3,58.35
2026-08-07,Lab Equipment,21,39,9,8,6,46.88
2026-08-07,Furniture,20,32,5,10,15,17.51
2026-08-07,Clothing,28,46,11,10,1,40.84
2026-08-07,Sports Equipment,32,41,8,6,17,39.35
